match_id,team_id,goal_number,player1_id,player2_id,goal_type
40687,10194,1,40695,30830,shot
40687,10260,4,22543,34944,shot
46908,8455,1,19243,128864,shot
46908,8586,4,194165,46353,distance
46908,8586,13,194165,110189,shot
46908,8455,16,107417,30613,shot
46908,8586,19,110189,194165,shot
46908,8455,22,30627,31306,shot
47241,8654,1,192899,155782,header
47241,8659,4,239807,33468,shot
48105,9825,1,46539,50047,header
48105,9825,4,50047,31435,shot
32466,8191,1,37240,240538,shot
32466,8191,7,214426,107280,shot
52309,8455,1,128864,31306,shot
52309,8455,4,19243,128864,shot
31453,8586,1,194165,110189,shot
33208,8668,4,32705,24846,header
50080,8650,1,280260,184822,shot
59549,8654,1,47382,30892,shot
49677,8659,1,239807,25666,indirect freekick
32706,8650,1,184822,156008,shot
32706,8650,4,39225,246575,shot
54109,8191,1,240538,191869,header
54109,8191,4,214426,37240,shot
54109,9826,10,35345,363340,distance
54109,9826,13,363340,35345,shot
56573,10194,1,96643,33881,shot
34790,9825,4,46469,37436,header
37083,8466,1,26675,279490,shot
37083,8466,7,26675,23293,deflected
44046,10260,1,39618,35327,shot
59826,8455,4,19243,30613,shot
59826,8455,10,128864,19243,shot
59826,8455,13,178812,31306,tap_in
34013,8586,7,157723,166422,distance
58839,8654,4,41232,195927,lob
58839,8654,7,30892,23678,shot
55091,9825,1,46469,36378,shot
55091,9825,4,36378,46469,shot
55091,9825,7,31013,37436,shot
55091,9825,13,427438,37436,distance
58975,8455,1,39987,107417,shot
58975,8456,4,37459,37412,shot
38023,10261,7,264840,160243,distance
38023,10261,10,31292,240236,deflected
33398,8650,1,246575,184536,shot
33398,8650,4,51553,184536,shot
54251,10260,1,30843,161012,shot
54251,8197,10,13423,139671,header
39302,10003,1,127130,313668,distance
32365,10194,1,33881,24213,shot
32365,10194,4,33881,24213,shot
53135,8472,1,169721,32579,header
53135,8472,4,30348,180330,tap_in
46193,8586,4,194165,41008,shot
33128,8455,1,107417,94086,shot
33128,10252,4,257847,358289,header
33128,8455,7,31306,72541,volley
53096,8191,1,107280,214426,header
53096,8191,4,214426,32304,header
53096,8659,7,23257,172841,header
53096,8659,10,115160,23257,header
59472,9826,1,22929,26777,header
35281,10261,1,160243,94550,shot
35281,10194,4,30830,119541,header
33969,8466,1,303339,72665,shot
40801,8472,4,30348,113908,shot
40801,10003,7,144996,111800,header
56148,9825,1,36378,46469,volley
56148,8586,7,194165,500520,header
46127,9825,1,46539,36378,volley
50194,8667,1,8922,101969,deflected
46438,10260,1,165823,22543,header
46438,8191,4,214426,191869,header
46438,10260,7,165823,46509,header
45966,10261,1,46700,104482,header
45966,9826,4,24157,160194,shot
42544,8650,1,280260,51553,shot
42544,8586,4,194165,174850,shot
42544,8586,10,41008,194165,tap_in
42544,8650,13,108808,37234,tap_in
38940,8659,4,239807,115160,shot
52778,8456,1,37412,38807,shot
52778,10194,4,30830,110148,header
52778,8456,7,38807,26181,header
52778,8456,13,26181,15403,shot
48396,10172,1,109638,127133,header
48396,10172,4,24741,127133,shot
48973,10252,1,23991,78324,header
48973,10194,4,72735,24213,header
47905,8455,1,31306,107417,shot
47905,8191,4,240538,191869,header
58098,8668,1,32705,181276,shot
58098,8197,7,30930,286119,shot
46819,10172,4,187266,127133,header
46819,8667,7,101969,231801,header
59597,8456,7,15403,37459,shot
59597,8456,10,37459,26181,shot
59597,8456,13,37459,37412,shot
