player_id,finishing,dribbling,acceleration,sprint_speed,positioning,shot_power,short_passing,long_passing,vision,dribbling,crossing,ball_control,marking,standing_tackle,sliding_tackle,interceptions,gk_diving,gk_handling,gk_kicking,gk_positioning,gk_reflexes,date,FIFA_rating,Position
27430,84.0,82.0,56.0,63.0,83.0,83.0,85.0,76.0,82.0,82.0,78.0,89.0,11.0,14.0,10.0,28.0,15.0,6.0,9.0,8.0,15.0,2015-09-21,82,Midfielder
78513,47.0,78.0,79.0,83.0,65.0,72.0,78.0,65.0,69.0,78.0,76.0,76.0,80.0,84.0,85.0,79.0,6.0,11.0,8.0,9.0,15.0,2015-09-21,82,Defender
77690,65.0,78.0,79.0,80.0,76.0,75.0,77.0,70.0,70.0,78.0,81.0,77.0,83.0,84.0,84.0,77.0,5.0,15.0,10.0,13.0,7.0,2015-11-06,82,Defender
26564,40.0,50.0,50.0,55.0,25.0,88.0,60.0,62.0,35.0,50.0,32.0,58.0,82.0,82.0,80.0,84.0,9.0,6.0,6.0,14.0,11.0,2015-11-06,82,Defender
94043,23.0,50.0,64.0,68.0,32.0,51.0,75.0,66.0,49.0,50.0,60.0,61.0,79.0,84.0,83.0,82.0,14.0,12.0,9.0,7.0,8.0,2015-11-19,82,Defender
94086,75.0,86.0,92.0,86.0,77.0,71.0,82.0,77.0,80.0,86.0,74.0,85.0,43.0,62.0,51.0,55.0,14.0,12.0,13.0,7.0,13.0,2015-12-17,81,Attacker
27694,66.0,77.0,60.0,55.0,68.0,83.0,86.0,85.0,84.0,77.0,79.0,85.0,53.0,64.0,61.0,66.0,15.0,15.0,7.0,6.0,13.0,2015-11-12,81,Midfielder
30459,39.0,43.0,33.0,34.0,29.0,48.0,64.0,63.0,40.0,43.0,53.0,59.0,83.0,82.0,76.0,86.0,7.0,11.0,12.0,7.0,6.0,2015-09-21,81,Defender
101103,54.0,63.0,66.0,68.0,59.0,76.0,75.0,73.0,62.0,63.0,60.0,72.0,82.0,80.0,82.0,83.0,1.0,1.0,1.0,1.0,1.0,2015-10-02,81,Defender
40695,53.0,42.0,54.0,64.0,31.0,44.0,63.0,69.0,50.0,42.0,33.0,54.0,82.0,83.0,80.0,82.0,10.0,12.0,7.0,13.0,15.0,2015-09-21,81,Defender
23305,77.0,82.0,92.0,90.0,74.0,75.0,74.0,65.0,66.0,82.0,64.0,78.0,33.0,45.0,48.0,35.0,12.0,11.0,14.0,8.0,16.0,2015-09-21,81,Attacker
26163,80.0,88.0,81.0,79.0,72.0,83.0,78.0,75.0,76.0,88.0,78.0,86.0,33.0,43.0,23.0,40.0,12.0,8.0,9.0,13.0,12.0,2015-10-23,81,Attacker
94267,69.0,83.0,75.0,73.0,73.0,69.0,81.0,77.0,84.0,83.0,79.0,84.0,40.0,34.0,26.0,31.0,11.0,11.0,14.0,9.0,16.0,2015-12-03,81,Midfielder
40940,48.0,58.0,62.0,64.0,57.0,66.0,78.0,79.0,62.0,58.0,61.0,69.0,76.0,85.0,81.0,84.0,14.0,10.0,15.0,15.0,12.0,2015-10-16,81,Defender
114268,33.0,64.0,55.0,52.0,21.0,63.0,70.0,68.0,56.0,64.0,59.0,67.0,82.0,85.0,86.0,73.0,14.0,14.0,13.0,10.0,7.0,2015-10-16,81,Defender
70409,88.0,74.0,87.0,85.0,87.0,75.0,67.0,55.0,72.0,74.0,62.0,77.0,22.0,29.0,25.0,26.0,14.0,12.0,9.0,12.0,11.0,2015-11-26,81,Attacker
30859,12.0,12.0,45.0,52.0,13.0,21.0,35.0,33.0,17.0,12.0,19.0,22.0,11.0,13.0,12.0,23.0,83.0,84.0,73.0,83.0,84.0,2015-09-21,81,Goalkeeper
196386,70.0,86.0,89.0,89.0,74.0,75.0,77.0,73.0,71.0,86.0,73.0,83.0,37.0,48.0,44.0,41.0,16.0,9.0,6.0,9.0,9.0,2015-12-24,81,Attacker
92666,81.0,85.0,77.0,77.0,81.0,83.0,82.0,73.0,80.0,85.0,72.0,82.0,27.0,36.0,34.0,30.0,9.0,7.0,5.0,9.0,10.0,2015-09-21,81,Attacker
38229,73.0,85.0,68.0,69.0,79.0,76.0,82.0,72.0,82.0,85.0,78.0,85.0,45.0,57.0,48.0,49.0,9.0,7.0,12.0,7.0,6.0,2015-12-10,81,Midfielder
30348,86.0,78.0,78.0,77.0,84.0,88.0,68.0,43.0,67.0,78.0,54.0,77.0,24.0,20.0,11.0,19.0,7.0,14.0,8.0,10.0,13.0,2015-12-24,81,Attacker
